year,month,day,latitude,longitude,depth (m),location,Ammonia (uM),Chlorophyll (mg/m3),Domoic Acid (ng/mL),Nitrate (uM),Nitrite (uM),Phosphate (uM),Pseudo-nitzschia delicatissima group (cells/L),Pseudo-nitzschia seriata group (cells/L),Pseudo-nitzschia Total Cells (cells/L),Silicate (uM),Water Temperature (°C)
2009,3,30,35.17,-120.741,0,Cal Poly Pier,0.10645866,12.265,0,0.65546656,0,0.23383346,0,0,0,56.41471888,11.7
2009,4,2,35.17,-120.741,0,Cal Poly Pier,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,11.4
2009,4,6,35.17,-120.741,0,Cal Poly Pier,0.35048904,14.155,0.084,0.68588464,0.12081366,0.38888364,0,0,0,40.565788,11
2009,4,9,35.17,-120.741,0,Cal Poly Pier,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,12.8
2009,4,13,35.17,-120.741,0,Cal Poly Pier,2.3724261,1.195,0.21,11.89803776,0.3386691,1.54156522,0,0,0,44.65892998,12.7
2009,4,16,35.17,-120.741,0,Cal Poly Pier,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,10.5
2009,4,20,35.17,-120.741,0,Cal Poly Pier,0.20672652,3.51,0,15.75848176,0.43933329,1.34125122,0,0,0,69.85056039,12.7
2009,4,23,35.17,-120.741,0,Cal Poly Pier,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,13.2
2009,4,27,35.17,-120.741,0,Cal Poly Pier,2.844012544,5.585,0.086,15.7419252,0.54895155,1.64942292,0,0,0,57.39708348,10.7
2009,4,30,35.17,-120.741,0,Cal Poly Pier,NaN,NaN,NaN,NaN,NaN,NaN,0,5331.38289,5331.38289,NaN,10.5
2009,5,4,35.17,-120.741,0,Cal Poly Pier,32.7287477,4.75,0.12,3.15681735,0.48717165,0.8015692,0,8530.212624,8530.212624,32.38909641,10.9
2009,5,7,35.17,-120.741,0,Cal Poly Pier,NaN,NaN,NaN,NaN,NaN,NaN,14927.87209,0,14927.87209,NaN,11.3
2009,5,11,35.17,-120.741,0,Cal Poly Pier,0,5.33,0,3.25052272,0.26457184,0.588768,0,0,0,45.1541574,12.4
2009,5,14,35.17,-120.741,0,Cal Poly Pier,NaN,NaN,NaN,NaN,NaN,NaN,0,2132.553156,2132.553156,NaN,11
2009,5,18,35.17,-120.741,0,Cal Poly Pier,9.168049,6.53,0.3,4.016652,0.390909762,0.491882226,8530.212624,0,8530.212624,29.94617637,11.3
2009,5,21,35.17,-120.741,0,Cal Poly Pier,NaN,NaN,NaN,NaN,NaN,NaN,0,25590.63787,25590.63787,NaN,14
2009,5,25,35.17,-120.741,0,Cal Poly Pier,2.163883641,2.725,0.26,3.141365536,0.235471404,0.937500444,0,0,0,44.88734745,NaN
2009,5,28,35.17,-120.741,0,Cal Poly Pier,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,13.5
2009,6,1,35.17,-120.741,0,Cal Poly Pier,25.206291,1.595,0,9.928846272,0.65902488,1.581132056,0,0,0,35.62586258,12.9
2009,6,4,35.17,-120.741,0,Cal Poly Pier,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,15.5
2009,6,8,35.17,-120.741,0,Cal Poly Pier,0.731366,7.055,0.16,2.39739283,0.12646546,0.4435246,0,0,0,60.2433489,16.2
2009,6,11,35.17,-120.741,0,Cal Poly Pier,NaN,NaN,NaN,NaN,NaN,NaN,14927.87209,0,14927.87209,NaN,13.5
2009,6,15,35.17,-120.741,0,Cal Poly Pier,0.146035598,18.845,0,2.290132672,0.275963516,0.518624256,8530.212624,0,8530.212624,44.71373382,14
2009,6,18,35.17,-120.741,0,Cal Poly Pier,NaN,NaN,NaN,NaN,NaN,NaN,70374.25415,0,70374.25415,NaN,13.7
2009,6,22,35.17,-120.741,0,Cal Poly Pier,2.077803358,5.65,0,6.459975138,0.51575481,1.025010866,14927.87209,0,14927.87209,48.14122894,12.6
2009,6,25,35.17,-120.741,0,Cal Poly Pier,NaN,NaN,NaN,NaN,NaN,NaN,19192.9784,0,19192.9784,NaN,13.3
2009,6,29,35.17,-120.741,0,Cal Poly Pier,1.16834269,1.88,0,3.16444537,0.24977403,0.52548683,0,0,0,51.64430115,15.3
2009,7,2,35.17,-120.741,0,Cal Poly Pier,42.2338274,NaN,NaN,7.088724153,0.54326943,1.10080741,0,0,0,38.84198468,15.4
2009,7,6,35.17,-120.741,0,Cal Poly Pier,3.68865224,2.835,0,3.71821123,0.40638114,0.82190525,0,0,0,53.90947758,13.9
2009,7,9,35.17,-120.741,0,Cal Poly Pier,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,14.2
2009,7,13,35.17,-120.741,0,Cal Poly Pier,0.27380941,12.76,0,0.645629263,0.11621214,0.16149821,0,0,0,48.53948134,15.6
2009,7,16,35.17,-120.741,0,Cal Poly Pier,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,15.1
2009,7,20,35.17,-120.741,0,Cal Poly Pier,NaN,2.82,0,NaN,NaN,NaN,8530.212624,0,8530.212624,NaN,15.3
2009,7,23,35.17,-120.741,0,Cal Poly Pier,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,14.6
2009,7,27,35.17,-120.741,0,Cal Poly Pier,8.0189906,3.935,0,8.879508551,0.58945095,1.48266731,0,3198.829734,3198.829734,62.9612172,14
2009,7,30,35.17,-120.741,0,Cal Poly Pier,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,13.1
2009,8,3,35.17,-120.741,0,Cal Poly Pier,0,10.645,0,NaN,0.15678135,0.31242536,0,21325.53156,21325.53156,103.0689726,14.7
2009,8,6,35.17,-120.741,0,Cal Poly Pier,NaN,NaN,NaN,NaN,NaN,NaN,0,8530.212624,8530.212624,NaN,14.6
2009,8,10,35.17,-120.741,0,Cal Poly Pier,3.14294624,3.17,0,5.67250547,0.29236779,0.89343984,0,0,0,55.84296466,14.5
2009,8,13,35.17,-120.741,0,Cal Poly Pier,NaN,NaN,NaN,NaN,NaN,NaN,10662.76578,0,10662.76578,NaN,14.1
2009,8,17,35.17,-120.741,0,Cal Poly Pier,0.50984525,3.995,0.16,2.986865163,0.33137082,0.69836411,307087.6545,14927.87209,322015.5266,60.08031806,14.3
2009,8,20,35.17,-120.741,0,Cal Poly Pier,NaN,NaN,NaN,NaN,NaN,NaN,76771.91362,2132.553156,78904.46677,NaN,14.4
2009,8,24,35.17,-120.741,0,Cal Poly Pier,4.2519543,1.45,1.6,4.37644129,0.36598716,0.91769081,183399.5714,31988.29734,215387.8688,70.60754176,13.7
2009,8,27,35.17,-120.741,0,Cal Poly Pier,NaN,NaN,NaN,NaN,NaN,NaN,426510.6312,8530.212624,435040.8438,NaN,14.3
2009,8,31,35.17,-120.741,0,Cal Poly Pier,3.24632233,2.79,2.55,3.23445686,0.28195497,0.67671274,379594.4618,0,379594.4618,65.24430164,15.5
2009,9,3,35.17,-120.741,0,Cal Poly Pier,NaN,NaN,NaN,NaN,NaN,NaN,362534.0365,0,362534.0365,NaN,16.1
2009,9,7,35.17,-120.741,0,Cal Poly Pier,8.0040829,4.375,0.46,3.332796,0,1.3908336,19192.9784,21325.53156,40518.50996,100.9518573,15
2009,9,10,35.17,-120.741,0,Cal Poly Pier,NaN,NaN,NaN,NaN,NaN,NaN,0,10662.76578,10662.76578,NaN,14.7
2009,9,14,35.17,-120.741,0,Cal Poly Pier,7.454865,1.56,0,3.43803,0.22818,1.21982592,0,0,0,71.84648295,NaN
2009,9,17,35.17,-120.741,0,Cal Poly Pier,NaN,NaN,NaN,NaN,NaN,NaN,0,9596.489202,9596.489202,NaN,NaN
2009,9,21,35.17,-120.741,0,Cal Poly Pier,2.24608268,2.955,0,2.437666,0.172088,0.66500928,2132.553156,0,2132.553156,79.77376341,NaN
2009,9,24,35.17,-120.741,0,Cal Poly Pier,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN
2009,9,28,35.17,-120.741,0,Cal Poly Pier,NaN,18.445,0,NaN,NaN,NaN,0,0,0,NaN,NaN
2009,10,1,35.17,-120.741,0,Cal Poly Pier,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN
2009,10,5,35.17,-120.741,0,Cal Poly Pier,7.794193,0.895,0.067,11.058668,0.535609,1.81548672,0,7463.936046,7463.936046,141.9884116,NaN
2009,10,12,35.17,-120.741,0,Cal Poly Pier,3.93671666,7.67,0,1.704116,0,0.93338016,0,14927.87209,14927.87209,80.64641079,14.2
2009,10,19,35.17,-120.741,0,Cal Poly Pier,4.04666064,2.52,0,3.820322,0.145977,0.93171168,0,0,0,NaN,NaN
2009,10,26,35.17,-120.741,0,Cal Poly Pier,4.30770544,2.62,0,8.193709,0.388869,1.64975424,2132.553156,0,2132.553156,NaN,NaN
2009,11,2,35.17,-120.741,0,Cal Poly Pier,1.59006254,14.97,0.051,8.271359,0.437742,1.02809856,0,25590.63787,25590.63787,NaN,NaN
2009,11,9,35.17,-120.741,0,Cal Poly Pier,1.28597868,20.4,0,3.5376245,0.42364,0.77482314,0,0,0,55.39513064,NaN
2009,11,16,35.17,-120.741,0,Cal Poly Pier,7.528452,33.68,0.068,9.71759795,0.522182,1.88292559,0,0,0,62.71482587,NaN
2009,11,23,35.17,-120.741,0,Cal Poly Pier,4.31989866,2.84,0,13.28595575,0.588797,1.5324218,0,0,0,63.84489972,NaN
2009,11,30,35.17,-120.741,0,Cal Poly Pier,1.20751848,4.84,0,9.85840085,0.563697,1.12246316,0,0,0,88.41897641,NaN
2009,12,7,35.17,-120.741,0,Cal Poly Pier,0.50773401,24.7,0.17,8.65422095,0.588948,1.06873585,0,0,0,17.51173148,NaN
2009,12,14,35.17,-120.741,0,Cal Poly Pier,1.83168783,3.85,0,9.09610176,0.543286,1.18826799,0,0,0,16.44821057,NaN
2009,12,21,35.17,-120.741,0,Cal Poly Pier,4.0017915,2.67,0,7.16391488,0.438059,1.19093611,0,8530.212624,8530.212624,14.86879681,NaN
2009,12,28,35.17,-120.741,0,Cal Poly Pier,2.6795412,3.45,0,9.747096,0.538667,1.27019074,0,0,0,16.084312,NaN
2010,1,4,35.17,-120.741,0,Cal Poly Pier,1.48762656,11.46,0,9.31737216,0.366873,1.19738619,0,0,0,14.066231,NaN
2010,1,11,35.17,-120.741,0,Cal Poly Pier,1.996659,6.26,0,5.45930288,0.279075,0.84861868,0,0,0,6.969148,NaN
2010,1,18,35.17,-120.741,0,Cal Poly Pier,2.55267495,2.45,0,11.02529656,0.474521,1.59907111,0,0,0,19.285627,NaN
2010,1,25,35.17,-120.741,0,Cal Poly Pier,4.13828604,0.35,0,9.09988528,0.781089,1.3242229,0,0,0,16.696659,NaN
2010,2,1,35.17,-120.741,0,Cal Poly Pier,2.377431,0.43,0,10.37288688,0.663259,1.48047718,0,0,0,18.96312,NaN
2010,2,8,35.17,-120.741,0,Cal Poly Pier,3.037631228,0.89,0.057,9.290227652,0.54446392,1.24472985,0,0,0,26.6488829,NaN
2010,2,15,35.17,-120.741,0,Cal Poly Pier,1.82418879,0.43,0.11,13.18940756,0.67015949,1.16853191,0,0,0,21.64083306,NaN
2010,2,22,35.17,-120.741,0,Cal Poly Pier,1.746306527,0.99,0,9.129438448,0.34718866,0.92670487,0,0,0,13.9290959,NaN
2010,3,1,35.17,-120.741,0,Cal Poly Pier,1.223290017,1.31,0,8.092583208,0.40440127,0.96968417,0,0,0,17.25948704,NaN
2010,3,8,35.17,-120.741,0,Cal Poly Pier,1.813724204,0.44,0.053,10.44720283,0.48425923,1.04510952,0,0,0,15.45727702,NaN
2010,3,15,35.17,-120.741,0,Cal Poly Pier,0.380569686,0.41,0.075,24.62383206,0.31185973,1.79445448,0,0,0,30.09960471,NaN
2010,3,22,35.17,-120.741,0,Cal Poly Pier,1.22981657,3.06,0.041,9.559816332,0.18868486,0.63586341,36253.40365,0,36253.40365,16.57394823,NaN
2010,3,29,35.17,-120.741,0,Cal Poly Pier,1.387555166,1.08,0.063,17.54453092,0.36971662,1.2443522,0,0,0,23.29578403,NaN
2010,4,5,35.17,-120.741,0,Cal Poly Pier,0.752676009,2.48,0.057,20.27346914,0.40656525,1.43421551,0,0,0,24.56550452,NaN
2010,4,12,35.17,-120.741,0,Cal Poly Pier,1.28911545,1.19,0,7.52921364,0.15989064,0.81368651,0,0,0,8.958211811,NaN
2010,4,19,35.17,-120.741,0,Cal Poly Pier,1.66489155,1.44,0,10.59624371,0.21996247,0.89181638,0,1066.276578,1066.276578,12.15012023,NaN
2010,4,26,35.17,-120.741,0,Cal Poly Pier,0.3644174,2.6,0,13.239345,0.36414377,0.81130218,0,0,0,14.543333,NaN
2010,5,3,35.17,-120.741,0,Cal Poly Pier,0.44145612,1.45,0.047,20.375061,0.38081516,1.40081386,0,0,0,21.933485,NaN
2010,5,10,35.17,-120.741,0,Cal Poly Pier,1.81946564,2.55,0,21.020429,0.32750202,1.59192714,7463.936046,0,7463.936046,23.214495,NaN
2010,5,17,35.17,-120.741,0,Cal Poly Pier,0.31083824,5.25,0.045,0.31766,0,0.12237035,0,0,0,2.066646,NaN
2010,5,24,35.17,-120.741,0,Cal Poly Pier,1.39474766,1.41,0,24.996626,0.26405432,1.94009991,0,0,0,32.635319,NaN
2010,5,31,35.17,-120.741,0,Cal Poly Pier,0,5.49,0.06,0,0,0,0,31988.29734,31988.29734,0,NaN
2010,6,7,35.17,-120.741,0,Cal Poly Pier,0.70040284,2.92,0.12,4.822822,0.20796892,0.6595127,0,38385.95681,38385.95681,3.405539,NaN
2010,6,14,35.17,-120.741,0,Cal Poly Pier,0.38387982,2.27,0.12,0.254003,0,0.15223083,0,34120.8505,34120.8505,0,NaN
2010,6,21,35.17,-120.741,0,Cal Poly Pier,0.28656028,7.31,0,0.990626,0.17940921,0.34667509,19192.9784,31988.29734,51181.27574,6.485945,NaN
2010,6,28,35.17,-120.741,0,Cal Poly Pier,0.43105128,9.27,0.059,0.29553,0,0.25207196,51181.27574,10662.76578,61844.04152,2.025965,NaN
2010,7,5,35.17,-120.741,0,Cal Poly Pier,1.53799204,3.17,0,0,0,0,116105.6718,14217.02104,130322.6929,2.767015,NaN
2010,7,12,35.17,-120.741,0,Cal Poly Pier,NaN,8.56,0,NaN,NaN,NaN,4265.106312,21325.53156,25590.63787,NaN,NaN
2010,7,19,35.17,-120.741,0,Cal Poly Pier,NaN,3.59,0.067,NaN,NaN,NaN,0,16586.52455,16586.52455,NaN,NaN
2010,7,26,35.17,-120.741,0,Cal Poly Pier,0.52843548,18.1,0.074,0.497841,0.101167,0.20562,100229.9983,83169.57308,183399.5714,12.883674,NaN
2010,8,2,35.17,-120.741,0,Cal Poly Pier,0.39270068,9.97,0.095,0,0,0,138615.9551,12795.31894,151411.2741,4.393562,NaN
2010,8,9,35.17,-120.741,0,Cal Poly Pier,1.54926984,8.69,0.092,0.409227,0,0.321015,488354.6727,8530.212624,496884.8853,11.921464,NaN
2010,8,16,35.17,-120.741,0,Cal Poly Pier,7.736227,1.7,0.096,11.285999,0.585047,1.560001,2132.553156,0,2132.553156,28.173822,NaN
2010,8,23,35.17,-120.741,0,Cal Poly Pier,1.8631458,6.82,0,4.514866,0.341252,0.465663,6397.659468,23458.08472,29855.74418,15.817674,NaN
2010,8,30,35.17,-120.741,0,Cal Poly Pier,51.805801,2.72,0,15.740386,0.505032,2.088504,0,0,0,27.49892,NaN
2010,9,6,35.17,-120.741,0,Cal Poly Pier,10.674946,18.28,0,7.212838,0.419868,1.300688,34120.8505,108760.211,142881.0615,14.424116,NaN
2010,9,13,35.17,-120.741,0,Cal Poly Pier,NaN,7.95,0.052,NaN,NaN,NaN,0,29855.74418,29855.74418,NaN,NaN
2010,9,20,35.17,-120.741,0,Cal Poly Pier,NaN,1.45,0.044,NaN,NaN,NaN,0,0,0,NaN,NaN
2010,9,27,35.17,-120.741,0,Cal Poly Pier,47.748634,11.5,0.063,5.642109,0.486088,2.092387,0,0,0,21.497793,NaN
2010,10,4,35.17,-120.741,0,Cal Poly Pier,NaN,1.01,0,NaN,NaN,NaN,0,14927.87209,14927.87209,NaN,NaN
2010,10,12,35.17,-120.741,0,Cal Poly Pier,24.968903,4.18,0.44,5.072123,0.403508,0.882562,0,38385.95681,38385.95681,13.938383,NaN
2010,10,19,35.17,-120.741,0,Cal Poly Pier,3.391157534,5.02,0,3.087427,0.369448,0.521874,0,0,0,7.736384,NaN
2010,10,26,35.17,-120.741,0,Cal Poly Pier,NaN,1.65,NaN,NaN,NaN,NaN,8530.212624,0,8530.212624,NaN,NaN
2010,11,2,35.17,-120.741,0,Cal Poly Pier,NaN,6.1,0,NaN,NaN,NaN,8530.212624,14927.87209,23458.08472,NaN,NaN
2010,11,9,35.17,-120.741,0,Cal Poly Pier,7.089911,1.54,0,2.632896,0.335044,0.364974,10662.76578,0,10662.76578,6.015672,NaN
2010,11,23,35.17,-120.741,0,Cal Poly Pier,12.787988,2.6,0,5.624238,0.461142,1.238142,4265.106312,0,4265.106312,15.419209,NaN
2010,11,30,35.17,-120.741,0,Cal Poly Pier,NaN,1.33,0.051,NaN,NaN,NaN,0,19192.9784,19192.9784,NaN,NaN
2011,1,28,35.17,-120.741,0,Cal Poly Pier,81.073349,NaN,0,15.550742,0.284562,1.296283,0,8533.169029,8533.169029,23.260508,16.7
2011,2,1,35.17,-120.741,0,Cal Poly Pier,NaN,NaN,4.94,11.39921,0.197296,0.777335,0,725319.3674,725319.3674,20.594025,NaN
2011,2,8,35.17,-120.741,0,Cal Poly Pier,NaN,3.32,2.97,1.28594973,NaN,0,17066.33806,51199.01417,68265.35223,3.872878,12
2011,2,15,35.17,-120.741,0,Cal Poly Pier,114.705948,3.91,2.39,8.348631824,NaN,0.134228,68265.35223,136530.7045,204796.0567,9.899653,13
2011,2,22,35.17,-120.741,0,Cal Poly Pier,NaN,0.51,NaN,4.389066756,NaN,0.266957,0,8533.169029,8533.169029,7.995102,12.2
2011,3,1,35.17,-120.741,0,Cal Poly Pier,NaN,2.82,6.14,21.299798,NaN,0.965356,17066.33806,375459.4373,392525.7753,38.249546,11.5
2011,3,10,35.17,-120.741,0,Cal Poly Pier,NaN,0.96,0,16.37863728,NaN,0.728308,0,34132.67611,34132.67611,22.021822,13
